Date,From,To,Flight_Number,Airline,Distance,Duration,Seat,Seat_Type,Class,Reason,Plane,Registration,Trip,Note,From_OID,To_OID,Airline_OID,Plane_OID
2008-12-14 03:47:00,LED,VKO,XW 102,Sky Express (XW/SXR),,01:01:00,19B,2,1,1,Boeing 737 (B73X),VP-BFJ,,most good - 20A,,,,
2008-11-17 05:10:00,RVI,VKO,XW 202,Sky Express (XW/SXR),,01:45:00,14E,2,1,1,Boeing 737 (B73X),VP-BOT,,,,,,
2008-11-14 07:15:00,VKO,KRR,S7 1147,S7 Airlines (S7/SBI),,02:05:00,13C,3,1,1,Airbus A310 (A310),,,,,,,
2008-08-02 00:00:00,OVB,DME,S7 176,S7 Airlines (S7/SBI),,03:36:00,,0,1,1,Airbus A310 (A310),,,,,,,
2008-06-29 04:00:00,AER,VKO,XW 234,Sky Express (XW/SXR),,02:35:00,,0,1,1,Boeing 737 (B73X),,,,,,,
2008-06-28 02:00:00,VKO,AER,XW 233,Sky Express (XW/SXR),,02:00:00,,0,1,1,Boeing 737 (B73X),,,,,,,
2008-06-13 12:40:00,VKO,LED,XW 101,Sky Express (XW/SXR),,01:10:00,,0,1,1,Boeing 737 (B73X),,,,,,,
2008-03-24 00:00:00,UFA,SVO,SU 0892,Aeroflot (SU/AFL),,01:49:00,,0,1,1,Boeing 737 (B73X),,,,,,,
2008-03-20 02:25:00,VKO,PEE,XW 323,Sky Express (XW/SXR),,02:15:00,,0,1,1,Boeing 737 (B73X),,,,,,,
2008-03-06 07:55:00,VKO,SVX,XW 301,Sky Express (XW/SXR),,02:05:00,,0,1,1,Boeing 737 (B73X),,,,,,,
